id|platform_type|genres|controllers
007E01|None||
091E00|None|software|wiimote, nunchuk
410E01|None|software|wiimote, gamecube, nunchuk
413E01|None|software|wiimote, nunchuk
D2AJAF|None||wiimote, nunchuk
D2SE18|None|sports|wiimote, nunchuk
D3DE18|None|sports|wiimote, nunchuk, motionplus
DASE4Q|None|adventure|wiimote, nunchuk
DAUEPZ|None|demo|wiimote, nunchuk
DAVE01|None|action, adventure|wiimote, nunchuk
DAXE01|None|adventure|wiimote, nunchuk, motionplus
DAXP01|None|action, adventure, demo|wiimote, nunchuk, motionplus
DBBE18|None|action, adventure|wiimote, nunchuk
DBKE69|None|action, puzzle|wiimote, nunchuk
DBKP69|None|action, puzzle|wiimote, nunchuk
DCAE18|None|horror, action, adventure, survival horror, demo|wiimote, nunchuk
DCHEAF|None|music, dance, rhythm|wiimote, nunchuk
DCHJAF|None|music, rhythm|wiimote, nunchuk
DD2P41|None|music, dance, demo|wiimote
DDWE18|None|action, platformer|wiimote, nunchuk
DDWX18|None|action, platformer|wiimote, nunchuk
DFNJ01|None|health, coaching, exercise, fitness, demo|wiimote, balanceboard, mii
DHHJ8J|None||wiimote, nunchuk
DHKE18|None|party, demo|wiimote, nunchuk
DK6E18|None|adventure, puzzle|wiimote, nunchuk, balanceboard
DK6J18|None|puzzle|wiimote, nunchuk, balanceboard
DMHE08|None|action, role-playing|wiimote, nunchuk, classiccontroller
DMHJ08|None|action, role-playing|wiimote, nunchuk, classiccontroller
DPIE18|None|party|wiimote, nunchuk
DQAJK2|None|sports, baseball|wiimote, nunchuk
DQGP69|None|racing, kart racing, demo|wiimote, nunchuk, classiccontroller, gamecube, wheel
DRME18|None|adventure, puzzle|wiimote, nunchuk
DSFE7U|None|action, adventure, role-playing|wiimote, nunchuk, classiccontroller, gamecube
DSRJ8P|None||wiimote, nunchuk
DTOJ8P|None||wiimote, nunchuk
DTZJ08|None|adventure, point-and-click|wiimote, nunchuk
DWEJA4|None|sports, soccer|wiimote, nunchuk
DWEPA4|None|sports, football, demo|wiimote, nunchuk
DXSE18|None|sports|wiimote, nunchuk
DZDE01|None|action, adventure|wiimote, nunchuk
DZDP01|None|action, adventure, demo|wiimote, nunchuk
R22E01|Wii|action, arcade|wiimote, motionplus, nunchuk
R22J01|Wii|action|wiimote, motionplus, nunchuk
R22P01|Wii|action|wiimote, motionplus
R23E52|Wii|action, adventure, platformer|wiimote, nunchuk
R23P52|Wii|action, adventure, platformer|wiimote
R24J01|Wii|action, adventure, platformer|wiimote, nunchuk
R25EWR|Wii|action, adventure|wiimote, nunchuk
R25PWR|Wii|action, adventure|wiimote, nunchuk, classiccontroller
R26E5G|Wii|arcade, compilation|wiimote, nunchuk
R27E54|Wii|adventure|wiimote, nunchuk
R27X54|Wii|action, adventure, platformer|wiimote, nunchuk
R28E54|Wii|sports, tennis|wiimote, nunchuk
R28P54|Wii|sports, tennis|wiimote, nunchuk
R29E52|Wii|action, sports, shooter, first-person shooter|wiimote, nunchuk, zapper
R29P52|Wii|sports, simulation|wiimote, nunchuk, zapper
R2AE7D|Wii|action, adventure|wiimote, nunchuk
R2AP7D|Wii|action, platformer|wiimote, nunchuk
R2AX7D|Wii|action, platformer|wiimote, nunchuk
R2DEEB|Wii|role-playing, board game|wiimote, nunchuk, classiccontroller, gamecube
R2DJEP|Wii|role-playing, party|wiimote, nunchuk, classiccontroller, gamecube
R2DPJW|Wii|role-playing, party|wiimote, nunchuk, classiccontroller, gamecube
R2EJ99|Wii|simulation, fishing|wiimote, nunchuk
R2FE5G|Wii|adventure|wiimote, nunchuk
R2FP70|Wii|adventure|wiimote, nunchuk
R2GEXJ|Wii|role-playing, action rpg|wiimote, nunchuk
R2GJAF|Wii|action, role-playing|wiimote, nunchuk
R2GP99|Wii|action, role-playing|wiimote, nunchuk
R2HE41|Wii|simulation, virtual pet|wiimote, nunchuk
R2IE69|Wii|sports, football|wiimote, nunchuk
R2IP69|Wii|sports|wiimote, nunchuk
R2JJAF|Wii|music|wiimote, nunchuk, drums
R2KE54|Wii|action, sports, boxing|wiimote, nunchuk, balanceboard
R2KP54|Wii|sports, boxing|wiimote, nunchuk, balanceboard
R2LJMS|Wii|music, rhythm|wiimote, nunchuk, balanceboard
R2ME20|Wii|action|wiimote, nunchuk
R2NE69|Wii|racing, kart racing|wiimote, nunchuk, classiccontroller, gamecube, wheel
R2OE68|Wii|arcade, puzzle|wiimote, nunchuk
R2OP68|Wii|party|wiimote, nunchuk
R2PE9B|Wii|sports, golf|wiimote, nunchuk
R2PJ9B|Wii|sports, golf|wiimote, nunchuk
R2PKZ4|Wii|sports, golf|wiimote, nunchuk
R2PP99|Wii|sports, golf|wiimote
R2QJC0|Wii|simulation|wiimote, nunchuk
R2RE4F|Wii|simulation, virtual pet|wiimote, nunchuk
R2RP4F|Wii|simulation, virtual pet|wiimote, nunchuk
R2SE18|Wii|sports, hockey, ski, tennis, darts|wiimote, nunchuk
R2SJ18|Wii|sports|wiimote, nunchuk
R2SP18|Wii|sports, party|wiimote, nunchuk
R2TE41|Wii|action, fighting|wiimote, nunchuk, classiccontroller, gamecube
R2TP41|Wii|fighting|wiimote, nunchuk, classiccontroller, gamecube
R2UE8P|Wii|music, rhythm, party|wiimote, nunchuk
R2UJ8P|Wii|action, music, rhythm, party|wiimote, nunchuk
R2UP8P|Wii|music, rhythm, party|wiimote, nunchuk
R2VE01|Wii|action, shooter, rail shooter|wiimote, nunchuk, classiccontroller, gamecube, zapper
R2VJ01|Wii|action, rail shooter|wiimote, nunchuk, classiccontroller, gamecube, zapper
R2VP01|Wii|action, rail shooter|wiimote, nunchuk, classiccontroller, gamecube, zapper
R2WEA4|Wii|sports, soccer|wiimote, nunchuk, classiccontroller
R2WJA4|Wii|sports, soccer|wiimote, nunchuk, classiccontroller
R2WPA4|Wii|sports, football|wiimote, nunchuk, classiccontroller
R2WXA4|Wii|sports|wiimote, nunchuk, classiccontroller
R2YE54|Wii|party|wiimote, nunchuk
R2YP54|Wii|party, puzzle|wiimote, nunchuk
R32J01|Wii|action, adventure, first-person shooter|wiimote, nunchuk
R33E69|Wii|music, rhythm|wiimote, guitar, nunchuk, microphone, drums
R33P69|Wii|music, rhythm|wiimote, guitar, nunchuk, microphone, drums
R34E69|Wii|music, rhythm|wiimote, guitar, nunchuk, microphone, drums
R35JC8|Wii|role-playing, tactical rpg|wiimote, nunchuk, classiccontroller
R36E69|Wii|music, rhythm|wiimote, guitar, nunchuk, microphone, drums
R36P69|Wii|music, rhythm|wiimote, guitar, nunchuk, microphone, drums
R37E69|Wii|music|wiimote, guitar, nunchuk, microphone, drums
R38E78|Wii|action|wiimote, nunchuk
R38P78|Wii|action|wiimote, nunchuk
R38X78|Wii|action|wiimote, nunchuk
R38Y78|Wii|action|wiimote, nunchuk
R39EFP|Wii|sports, simulation, fishing|wiimote, nunchuk
R39PNK|Wii|simulation, fishing|wiimote, nunchuk
R3AE20|Wii|adventure, interactive fiction|wiimote, nunchuk
R3AP7J|Wii|adventure, interactive fiction|wiimote, nunchuk
R3BE8P|Wii|music, rhythm|wiimote, nunchuk, mii
R3BJ8P|Wii|music, rhythm|wiimote, nunchuk, mii
R3BP8P|Wii|music, rhythm|wiimote, nunchuk, mii
R3CE20|Wii|racing|wiimote, nunchuk
R3CP7J|Wii|racing|wiimote, nunchuk
R3DES5|Wii|pinball, arcade|wiimote, nunchuk
R3DPS5|Wii|pinball|wiimote, nunchuk
R3EEWR|Wii|sports, billiards, golf, party|wiimote, nunchuk
R3EPWR|Wii|sports, trivia, arcade, party|wiimote, nunchuk
